anisotropic GGX reflections of a studio environment, 200 random surfaces and views each, 4096 lattice samples
each cell: relative RMS error (RMS / mean reference) | median relative error
noise = the reference against a second reference with another lattice rotation
tapN = N probe lookups at the real lobe's half-vector median ring, each at roughness max(ab, 0.35 a), weighted by n.l
p.rough k    noise          isotropic today   Filament bent    bent + mean(at,ab)  4 taps          8 taps
0.3     0.0  0.014 | 0.016  0.537 | 0.185     0.535 | 0.189    0.537 | 0.183       0.656 | 0.271   0.664 | 0.274
0.3     0.5  0.014 | 0.013  0.991 | 0.351     2.430 | 0.626    2.432 | 0.636       0.785 | 0.233   0.579 | 0.225
0.3     0.9  0.013 | 0.005  1.184 | 0.497     3.274 | 0.892    3.274 | 0.871       0.885 | 0.355   0.637 | 0.315
0.5     0.0  0.017 | 0.015  0.662 | 0.327     0.660 | 0.322    0.660 | 0.343       0.818 | 0.418   0.808 | 0.392
0.5     0.5  0.019 | 0.021  0.962 | 0.534     1.308 | 0.551    1.307 | 0.546       0.912 | 0.342   0.688 | 0.341
0.5     0.9  0.018 | 0.005  1.398 | 0.809     2.017 | 1.127    2.017 | 1.173       1.568 | 0.579   0.945 | 0.462
0.7     0.0  0.021 | 0.016  0.499 | 0.365     0.501 | 0.368    0.500 | 0.374       0.639 | 0.532   0.629 | 0.500
0.7     0.5  0.025 | 0.018  0.803 | 0.533     0.750 | 0.429    0.753 | 0.443       0.983 | 0.634   0.763 | 0.484
0.7     0.9  0.028 | 0.015  1.353 | 0.890     1.457 | 1.355    1.458 | 1.370       1.691 | 0.906   1.109 | 0.755
